title,bio,Rol / Cargo,Organización,designation,twitter,instagram,linkedin
Joselyn Jassel Ramos Lorenzo,"Contadora Pública por el IPN, comenzó su carrera dominando la operación fiscal en despachos y empresas como ADO. Esa base técnica la llevó a participar en migraciones de ERPs en compañías como Alsea, y desde ahí dio el salto hacia la transformación integral de procesos. Hoy, como Product Owner en Contpaqi, convierte esa disciplina fiscal en visión de producto, liderando el desarrollo tecnológico bajo una certeza: todo gran sistema nace de saber, con claridad, qué se quiere construir.",Gerente de Producto,Contpaqi,Gerente de Producto Contpaqi,,,https://www.linkedin.com/in/joselyn-jassel-r-8b1a06166
Martha Villanueva,"Martha C. Villanueva es especialicista en inteligencia geoespacial, arquitectura de soluciones complejas y consultoría de tecnología de vanguardia. Con más de 25 años de experiencia, se especializa en diseñar e implementar flujos de trabajo de alta precisión que vinculan el cómputo en la nube con la analítica geoespacial mediante plataformas líderes como Google Cloud Platform, Google Earth Engine, Octave y CARTO.  A lo largo de su carrera, ha liderado proyectos estratégicos de seguridad y defensa, desarrollo urbano y catastro municipal a nivel regional. Su trayectoria incluye la dirección de programas avanzados de transferencia tecnológica y capacitación para equipos de ingeniería y tomadores de decisiones en más de 30 instituciones civiles, militares y académicas de Latinoamérica.
Es licenciada en Arquitectura, cuenta con una Maestría en Teledetección y un Diplomado en Geomática y Tecnología Satelital por la Universidad Mayor de Chile.",Directora de Desarrollo de Negocios,Bufete de Soluciones Integrales,Directora de Desarrollo de Negocios Bufete de Soluciones Integrales,,,linkedin.com/in/marthavillanueva
Ana Guadalupe Cifuentes Sanchez,"Actualmente soy Technical Account Manager en Google, y tengo experiencia previa trabajando como Cloud Support y DevOps Engineer. 

A lo largo de mi carrera me he dedicado a la integración, automatización y monitoreo de servicios en distintas plataformas cloud.

Mi camino hacia la tecnología ha sido muy enriquecedor: originalmente estudié Ingeniería de Minas y Metalurgia, pero decidí dar un giro profesional y hacer un cambio de carrera hacia la tecnología apoyándome en el bootcamp de Laboratoria.

Además de la parte técnica, me apasiona generar un impacto social. Soy fundadora de CHIDASTECH, un espacio dedicado a inspirar y motivar a niñas a acercarse al mundo STEM. También participo activamente en otras comunidades tecnológicas para fomentar la inclusión y he colaborado en la organización de eventos como el Community Day de AWS y el KCD Guadalajara, buscando siempre promover espacios que aumenten la participación femenina en nuestro sector.",Technical Account Manager,Google,Technical Account Manager Google,,,https://www.linkedin.com/in/ana-cifuentes-sanchez/
Daniela Cortes,"Daniela Cortés Castillo es Tech Architecture Sr Analyst  con más de 4 años de experiencia en el diseño, despliegue y operación de infraestructura en la nube y pipelines CI/CD. Especialista en Kubernetes y cloud, se enfoca en la automatización, la confiabilidad de sistemas y la optimización de performance en entornos empresariales.
Actualmente, trabaja en la mejora de arquitecturas basadas en contenedores, resolución de incidentes complejos en producción y habilitación de buenas prácticas DevOps y DevSecOps, además de impulsar iniciativas internas de conocimiento y mentoría técnica.",Tech Architecture Sr Analyst,Accenture,Tech Architecture Sr Analyst Accenture,,daniccast,https://www.linkedin.com/in/danielacortescas/
Loyda Florencia Luis Pineda,"Loyda Florencia Luis Pineda es Senior Software Engineer con más de 10 años de experiencia diseñando y construyendo sistemas backend de alto rendimiento para startups y empresas internacionales. Actualmente trabaja como Elixir Developer en ROAR For Good, desarrollando plataformas IoT y sistemas críticos en tiempo real.

Ha construido productos de cero a producción utilizando múltiples tecnologías backend y arquitecturas distribuidas, incluyendo Elixir/Phoenix, Scala, Java, Python y Node.js, así como microservicios, sistemas event-driven y AWS. También ha liderado y mentorado equipos de ingeniería y formó parte de Women Who Code de 2018 a 2024.

Es ingeniera en Comunicaciones y Electrónica con maestría en Ingeniería en Telecomunicaciones con especialización en semiconductores por el Instituto Politécnico Nacional (IPN) y actualmente radica en Oaxaca, México.",Senior Elixir Engineer,Roar For Good,Senior Elixir Engineer Roar For Good,loydiux,,https://www.linkedin.com/in/loyda-pineda/
Valery Calderón Briz,"Laboro actualmente como Ingeniera de datos senior en Mitek, tengo un Master en analisis y visualización de Big Data, Anteriormente: Co-organizadora de Pyladies Madrid, Co-organizadora de Pyladies Ciudad de México, Fundadora de la comunidad Python Guatemala, speaker en múltiples eventos internacionales. Instructora en openwebinars y mentora de speakers en múltiples conferencias.

Algunas de las conferencias que he dado:
""Mejorando data pipelines"" Pydata Madrid 2024 (España),   ""Blockchain para la inclusión en servicios de salud"" Campus Party Global, (Mexico) 2020, ""Datetime handling without loosing your mind"" en PyCon Canada 2019, ""Sopita de datos con espinacas"" (Web Scraping) en PyconLatam 2019 (Puerto Vallarta, Mexico), ""Reactive Programming with PyRX"" en Pycon 2018 (Cleveland, USA), ""Break-out Detection aplicado a una serie de datos respecto al tiempo"" PyconEs 2017 (Caceres, España).",Senior Data Engineer,Pyladies CDMX,Senior Data Engineer Pyladies CDMX,,,https://www.linkedin.com/in/valerybriz/
Francys Lanza,"Soy Lead Data Scientist y Machine Learning Engineer con más de siete años de experiencia en la industria fintech, especializado en riesgo crediticio, detección de fraude y el desarrollo de sistemas de machine learning en producción. A lo largo de mi carrera he trabajado en todo el ciclo de vida de los modelos de inteligencia artificial, desde la ingeniería de variables y el desarrollo de modelos hasta su despliegue, monitoreo, gobernanza y operación a gran escala.

Más allá de la ejecución técnica, me interesa profundamente la adopción responsable de la inteligencia artificial y el potencial que tienen los datos y el machine learning para ampliar el acceso a servicios financieros. Gran parte de mi trabajo y mis investigaciones se centran en temas como ética en IA, sesgo algorítmico, data alternativa, sistemas de scoring y la intersección entre tecnología e inclusión financiera.",Data Scientist,Begini,Data Scientist Begini,,,https://www.linkedin.com/in/francys-lanza-garc%C3%ADa-784865128/
Amizaday Hernández,"Amizaday Hernández Angulo (Amy Hean) es Ingeniera en Software y Redes, instructora líder de IT Support y promotora de inclusión digital. Ha colaborado en la formación de talento tecnológico a través de programas de soporte técnico, desarrollo de software y alfabetización digital para mujeres, jóvenes y personas adultas mayores. Actualmente cursa una Maestría en Ciberseguridad y participa en iniciativas de defensa digital y protección de mujeres en entornos tecnológicos. Su experiencia combina educación, soporte técnico, desarrollo web y concientización sobre seguridad digital. Es fundadora de la iniciativa “Amy Hean entre amigos”, un proyecto comunitario que acerca la tecnología a poblaciones con acceso limitado a oportunidades de formación. Su misión es utilizar la tecnología como una herramienta de autonomía, inclusión y empoderamiento social.","Intructora Lider, Docente de tecnologias A",Generation México/ Instituto para el Desarrrollo de Robotica / PILARES CDMX,"Intructora Lider, Docente de tecnologias A Generation México/ Instituto para el Desarrrollo de Robotica / PILARES CDMX",,https://www.instagram.com/amyhean_mx/,https://www.linkedin.com/in/amy-hean/
Antonieta Carrasco,"Antonieta Carrasco es Lead Product Designer en Lottus Education, con más de diez años de experiencia creando productos digitales para medios, banca y educación. Ha liderado proyectos reconocidos como Nación321 de El Financiero | Bloomberg y desarrollado soluciones para BBVA México y startups tecnológicas.

Concibe el diseño de producto como una herramienta estratégica para generar impacto real, alineando negocio, tecnología y personas.

Actualmente es docente en Impact Click, donde imparte Diseño de Interfaz (UI) y acompaña a sus estudiantes a transformar ideas en experiencias digitales claras, funcionales y con intención estratégica.",Lead Product Designer,Lottus Education,Lead Product Designer Lottus Education,https://x.com/antuanVisual,https://www.instagram.com/antonietacarrascoe/,https://www.linkedin.com/in/antonietacarrasco/
Fernanda Osorio,"Cloud  Engineer en AWS y Licenciada en Ciencias de la Computación por la Universidad Nacional Autónoma de México (UNAM). Es fundadora de Ixalli, una comunidad dedicada a empoderar mujeres en tecnología que ha impactado a más de 1000 personas.

Speaker internacional certificada por AWS, se ha presentado en AWS Summit, AI Summit y Google México; reconocida con el ""SHEro Awards 2025"" en Amazon por Builder Collaboration.

Como creadora de contenido tech en @soy_ferosorio, alcanza más de 325K vistas mensuales compartiendo sobre cloud computing y su experiencia como mujer en tecnología. Fernanda construye en la intersección de ingeniería cloud, inteligencia artificial generativa y femtech, impulsada por la convicción de que la mejor tecnología será construida por personas que entienden el problema de primera mano.",Cloud Engineer,AWS,Cloud Engineer AWS,,soy_ferosorio,linkedin.com/in/fer-osorio-925604225
Sandra Márquez,"Sandra Márquez designs employer brand strategies for tech companies across LATAM and the US. She has led the area for DoorDash, Zillow & other tech companies focused on how technology companies attract and retain senior engineering talent. She is the founder of PopOut (retail architecture and brand experiences), SM Studio (fractional employer branding consultancy), and TechBrander (experiential strategy for the tech ecosystem). Author of the DEBS™ framework for measuring employer brand ROI in developer communities. More than a decade inside experiential marketing in Mexico gives her a direct read on what moves talent in engineering teams and what makes them want to stay.",Founder & CEO,TechBrander,Founder & CEO TechBrander,,,https://www.linkedin.com/in/sandramarquezr/
Nydia Mejía Zavala,"Científica de datos en formación, actualmente cursando la licenciatura en Ciencia de Datos en UNITEC. Su trayectoria es interdisciplinaria: viene del mundo editorial, la literatura y el trabajo en organizaciones de la sociedad civil, lo que da a su mirada sobre los datos una dimensión humana y crítica que va más allá del código.

Trabaja como Data Annotator en el sector tech, rol desde el cual ha desarrollado un interés creciente por los sesgos en los sistemas de inteligencia artificial y la necesidad de incorporar perspectiva de género en cada etapa del trabajo con datos.

Este mapa es su primer proyecto de visualización independiente y representa exactamente lo que la llevó a cambiar de carrera: la convicción de que las herramientas tecnológicas pueden — y deben — ponerse al servicio de causas que importan.",Data annotator,Motive,Data annotator Motive,,,https://www.linkedin.com/in/nydia-mejia-004485237
Joselyn Jassel Ramos Lorenzo," Contadora Pública por el IPN, comenzó su carrera dominando la operación fiscal en despachos y empresas como ADO. Esa base técnica la llevó a participar en migraciones de ERPs en compañías como Alsea, y desde ahí dio el salto hacia la transformación integral de procesos. Hoy, como Product Owner en Contpaqi, convierte esa disciplina fiscal en visión de producto, liderando el desarrollo tecnológico bajo una certeza: todo gran sistema nace de saber, con claridad, qué se quiere construir.",Gerente de Producto,CONTPAQi,Gerente de Producto CONTPAQi,,,https://www.linkedin.com/in/joselyn-jassel-r-8b1a06166
Elena Pérez,QA Pillar Lead en SimplePractice con más de 7 años de experiencia en calidad de software. Su pasión y enfoque es la mejora de procesos e innovación con buenas practicas.,QA Pillar Lead,SimplePractice,QA Pillar Lead SimplePractice,,,https://www.linkedin.com/in/elena-p-888b43ba
Marian Suárez,"Marian Suárez es Chief Marketing Officer con experiencia en estrategia, experiencia de usuario e innovación impulsada por IA. Ha liderado iniciativas de inteligencia artificial, desde el diseño de prototipos hasta la evaluación de agentes inteligentes, con un enfoque práctico, ético y orientado a resultados. Colabora con equipos multidisciplinarios para impulsar la transformación digital, potenciar el talento y promover una adopción responsable de la IA.",Chief Marketing Officer (CMO),Mobiik,Chief Marketing Officer (CMO) Mobiik,,,https://www.linkedin.com/in/mariansuarez/
Gaby Guevara,"Gabriela Guadalupe Guevara Sánchez, fundadora y directora general de El Tren de La Tecnología, es apasionada por la educación y las tecnologías de la información, con más de 25 años de experiencia en proyectos de transformación digital y 10 mil personas capacitadas en 4 países, en sectores público y privado, incluyendo educación, salud, industria y servicios. Actualmente es consejera en la Agencia Digital de Innovación Pública del Gobierno de la Ciudad de México.

Pionera en la educación a distancia, desde 2001, promovió el primer Coloquio de Educación a Distancia en la UNAM (FES Aragón) con formato híbrido e internacional. Con 20 años como docente en educación superior, ha impartido clases en licenciaturas como pedagogía y derecho, así como coordinadora de distintos diplomados en la UNAM y la Universidad Anáhuac.

Es líder del Comité de Mujeres en Tecnología, Diversidad e Inclusión en AMITI, donde fundó el Comité de Teletrabajo con impacto en política pública, industria y academia. Promotora de la educación STEAM y de la igualdad económica de género a través del programa WEPs de ONU Mujeres.

En la ANUIES participa en el comité de evaluación de los reconocimientos del Comité ANUIES TIC en proyectos de tecnología de la información en las universidades públicas y privadas, en la misma asociación pertenece a la Red de Mujeres en TIC que visibiliza el talento y la contribución de las mujeres en el sector TIC en la educación superior. Fundadora del programa internacional de inclusión digital El Tren de la Tecnología, ha capacitado a más de 10,000 personas en cuatro países.

Especialista en gestión del cambio e implementación de sistemas ERP, GRP, CRM y LMS como líder de proyecto, es formadora de consultores de negocio y programas de aceleración comercial.

Impulsora de iniciativas de impacto social como Compremos a Nuestros Artesanos para la inclusión digital y financiera de las comunidades indígenas y El color de reciclar para la educación ambiental, participa activamente en organismos como la Asociación Mexicana de Teletrabajo e Inclusión Digital y la Sociedad Mexicana de Orientadores Familiares.
",Fundadora y Directora General,El Tren de La Tecnología,Fundadora y Directora General El Tren de La Tecnología,,,https://www.linkedin.com/in/gabriela-guevara-a1051215
"Elsa Ramirez Hernandez
 ","Elsa Ramírez Hernández, líder tecnológica, empresaria y especialista en
transformación digital con una sólida trayectoria internacional en más de 10
países. Es socia fundadora de PRAXIS, firma global de Tecnologías de información
donde fungió como directora de innovación y actualmente dirige las operaciones y
la estrategia de productos digitales. Ingeniera en Computación y con doble grado
de Maestría en TI y Administración por el ITAM, su formación técnica e
internacional incluye estudios en Francia y certificaciones en Gobierno Corporativo
y Alta Dirección.

Su enfoque profesional está centrado en resolver desafíos de negocio y de
infraestructura a través de la innovación tecnológica. Cuenta con una destacada
experiencia en la integración de soluciones basadas en Inteligencia Artificial
(AIaaS) y sistemas inteligentes de reconocimiento de imágenes para la
optimización de procesos operativos, de identidad y de seguridad. Combina su rol
corporativo con la docencia de posgrado en Negocios Digitales y la mentoría activa
de mujeres en STEM. En 2024 fue reconocida como ""Mujer inspiración"" por CODE
4 DEI por su trayectoria en la industria. Su principal foco es llevar el conocimiento
a aquellas zonas del interior que aún no cuentan con todas las facilidades.",Directora de Operaciones de Productos Digitales,Praxis Tech Solutions,Directora de Operaciones de Productos Digitales Praxis Tech Solutions,,,https://www.linkedin.com/in/elsaramirezhernandez
