"Cuando la IA se equivoca: errores, alucinaciones y cómo construir sistemas confiables",Irais Serrano,Charla,"La inteligencia artificial generativa está transformando la forma en que desarrollamos software, analizamos información y automatizamos procesos. Sin embargo, uno de los mayores retos al adoptar estas tecnologías es entender que una respuesta generada por IA puede parecer correcta y aun así estar equivocada.

En esta charla exploraremos los principales desafíos al implementar soluciones con IA generativa: alucinaciones, respuestas fuera de contexto, información incorrecta y riesgos al utilizar resultados generados automáticamente en ambientes empresariales.

Desde la experiencia trabajando con datos, sistemas empresariales e integración de soluciones basadas en IA, compartiré una perspectiva práctica sobre cómo construir soluciones más confiables mediante mejores datos, validación, evaluación de resultados y supervisión humana.

La charla busca mostrar que el valor de la inteligencia artificial no está solamente en la capacidad del modelo, sino en la forma en que las ingenieras diseñamos sistemas alrededor de ella. Mantener el criterio técnico, la responsabilidad y la confianza será clave para crear tecnología que realmente genere impacto.",,
"No tienes que aprender IA sola: comunidad, datos y futuro para mujeres en STEM",Mirna vazquez,Comunidad o Iniciativa,"La inteligencia artificial está transformando la forma en que hacemos ciencia, analizamos datos y construimos tecnología. Sin embargo, muchas mujeres en STEM aún enfrentan una barrera inicial: saber por dónde empezar, cómo practicar y con quién aprender.

R-Ladies Xalapa es una comunidad que crea espacios de aprendizaje colaborativo alrededor del lenguaje de programación R. A través de talleres, mentoría y actividades abiertas, acompañamos a mujeres y personas subrepresentadas que quieren fortalecer sus habilidades en análisis de datos, visualización, estadística, ciencia reproducible e inteligencia artificial aplicada.

En esta presentación de 3 minutos compartiremos quiénes somos, qué hacemos y cómo unirse. Nuestro mensaje central es simple: aprender R, datos e IA no tiene que ser un proceso solitario. Puede construirse en comunidad, con confianza técnica, acceso abierto al conocimiento y redes donde más mujeres puedan reconocerse como creadoras de tecnología.

No tienes que aprender IA sola.",no-tienes-que-aprender-ia-sola-comunidad-datos-y-futuro-para-mujeres-en-stem,
Comunidad Más Voces en Diseño México,Berenice Lemus,Comunidad o Iniciativa,"Iniciamos en 2018 como Más Mujeres en UX y en 2026 nos transformamos a Más Voces en Diseño. Hoy celebramos esta nueva etapa con el corazón lleno, con mucha ilusión y con la certeza de que lo construido sigue vivo, pero ahora crece con más fuerza.
Somos una red que existe para que ninguna mujer en tecnología en Latinoamérica tenga que diseñar su camino en soledad. Nos mueve la convicción de que el diseño es una herramienta de transformación social y que, cuando una de nosotras crece, el estándar de toda la región se eleva.",comunidad-mas-voces-en-diseo-mexico,
La mejor decisión de mi carrera fue aprender a aprender: Cómo Internet cambió mi vida y  por qué hoy cualquiera puede construir el futuro que imagina.,Jaqueline Razo,Lightning talk,"A los 19 años dejé la universidad porque mi familia ya no podía seguir pagando mis estudios. En ese momento pensé que estaba perdiendo mi oportunidad de construir una carrera. En realidad, estaba descubriendo una nueva forma de aprender. La necesidad de apoyar a mi familia me hizo tomar un path inusual. 

Aprendí programación desde cero en YouTube, trabajé como freelancer para clientes en USA, obtuve certificaciones de Microsoft en Azure y Ciencia de Datos, regresé a la universidad costeando mis propios estudios y hoy lidero proyectos de transformación digital e Inteligencia Artificial en una empresa global.

En esta charla compartiré por qué el aprendizaje continuo ha sido mucho más importante que cualquier título, cómo exponernos a nuevas oportunidades puede transformar nuestra trayectoria profesional y por qué la IA representa una nueva democratización del conocimiento para quienes estén dispuestas a aprender.

Mi objetivo es que cada asistente salga convencida de que su punto de partida no determina su futuro. La tecnología evoluciona constantemente, pero la capacidad de aprender y atreverse a dar el siguiente paso sigue siendo la habilidad más poderosa de todas.",la-mejor-decision-de-mi-carrera-fue-aprender-a-aprender-como-internet-cambio-mi-vida-y-por-que-hoy-cualquiera-puede-construir-el-futuro-que-imagina,
Quemar las naves,Sol Estrada,Lightning talk,"Hay momentos en los que la vida te invita -o te exige- volver a empezar: cambiar de carrera, de trabajo, de lugar, de personas.
Hoy quiero compartirles lo que ha significado para mí “quemar las naves” y tener el valor de comenzar otra vez.",quemar-las-naves,
IA generativa: impacto colaborativo y enfoque ético multidisciplinario,Marisela Cadena,Lightning talk,"En esta breve charla, voy a hablar de los beneficios de la IA generativa y un posible enfoque acerca de la implementación de estas nuevas herramientas. Cuando hablamos de ética e IA generativa en herramientas colaborativas, solemos culpar al ""algoritmo"" o a los ""sesgos de los datos"", como si la tecnología tuviera vida propia. Como desarrolladora, sé que la realidad es otra: la IA solo ejecuta lo que nosotros permitimos. Los problemas éticos y de desinformación no son accidentes; nacen de decisiones conscientes en el diseño y desarrollo de software, un ecosistema históricamente dominado por hombres cis con una perspectiva homogénea. En esta charla de 5 minutos, quiero bajar a la tierra el debate ético desde la realidad del código. Analizaremos por qué la IA no es la culpable de sus impactos negativos y por qué urge un enfoque multidisciplinario real, donde la presencia de mujeres técnicos sea el contrapeso necesario para cuestionar lo que hoy se da por sentado.",ia-generativa-impacto-colaborativo-y-enfoque-etico-multidisciplinario,
"La IA no vino a reemplazarme, vino a quitarme el trabajo aburrido",Gabriela Tejadilla,Lightning talk,"Durante mucho tiempo pensé que la inteligencia artificial me ayudaría a hacer mi trabajo más rápido. Y sí, lo hace. Pero después de usarla todos los días como Portfolio Manager y Scrum Master, descubrí que ese no era el mayor beneficio.
Lo más valioso ha sido otra cosa: me ayuda a ordenar el caos.
Porque muchas veces el reto no es hacer una presentación, escribir una historia de usuario o documentar un proceso. El reto es que te llega una solicitud enorme, con información incompleta, opiniones distintas, urgencia y expectativas de muchas personas, y no sabes por dónde empezar.
La IA me ha quitado buena parte del trabajo operativo, repetitivo y mentalmente agotador que consumía mi energía: tiempo que antes invertía organizando información, estructurando entregables o dándole forma a ideas dispersas. Y al hacerlo, me permitió volver a enfocarme en lo que realmente genera valor: entender problemas, tomar decisiones, conectar ideas, pensar en estrategia y acompañar a las personas.
En esta charla compartiré cómo incorporé IA a mi día a día en el sector financiero donde se requiere de controles y ser muy preciso en los reportes, para transformar ideas dispersas en planes, documentos y acciones concretas. Hablaré de casos reales donde pasé de invertir días o semanas en ciertos entregables a resolverlos en horas, pero también de los errores, las limitaciones y los retos que encontré en el camino.
Mi conclusión es simple: la IA no vino a reemplazarnos. Vino a quitarnos parte del trabajo más repetitivo y pesado para devolvernos algo más valioso: tiempo. Tiempo para pensar, aprender y crear, pero también para vivir —tener hobbies, hacer ejercicio, descansar, cuidarnos—. Confio en que, bien usada, la IA puede regresarnos nuestra humanidad.",la-ia-no-vino-a-reemplazarme-vino-a-quitarme-el-trabajo-aburrido,
No esperé a sentirme lista… aunque la verdad es que casi lo hago.,Paola Karina Flores Martínez,Lightning talk,"En esta charla comparto cómo una pregunta tan simple como ”¿Y si sí aplicamos?” terminó cambiando mi forma de vivir la universidad.

Todo comenzó cuando una amiga y yo decidimos postularnos a un curso de Electrónica Analógica sin sentirnos completamente preparadas. Lo que parecía una oportunidad más se convirtió en el inicio de un camino lleno de cursos, programas de mentoría, voluntariados, proyectos como ATMANIE y comunidades que transformaron no solo mi formación profesional, sino también la manera en la que veía mi lugar dentro de STEM.

A través de una historia cercana y personal, reflexiono sobre el miedo a no sentirse suficiente, el valor de las personas que nos impulsan a crecer y cómo muchas veces las mejores oportunidades llegan antes de que nos sintamos listas para tomarlas.

Más que una charla sobre convocatorias, es una invitación a dejar de esperar el momento perfecto para empezar. Porque, a veces, todo cambia cuando dejamos de preguntarnos si somos suficientes y simplemente nos atrevemos a decir: ”¿Y si sí aplicamos?”",no-espere-a-sentirme-lista-aunque-la-verdad-es-que-casi-lo-hago,
She Leads: Shaping STEM's Future with AI,"Gabriela Guevara, Elsa Ramírez y Cintia Vargas",Panel,"Se habla mucho de que la IA «reemplaza» empleos. ¿Qué tan cierto es visto desde adentro, por quienes contratan y lideran equipos hoy?

En este panel, tres mujeres con trayectoria directiva en tecnología comparten lo que están viendo en la práctica: cómo se están transformando los roles y los equipos, qué habilidades se vuelven imprescindibles y cuáles pierden relevancia, y cómo distinguir entre adoptar IA por moda o porque realmente aporta valor. Cerrarán con el ángulo que más importa para esta comunidad: qué responsabilidad tienen al liderar esa adopción, si la brecha de género se ampliará o puede cerrarse, y consejos concretos para quienes empiezan hoy.",,
Strategy. The hidden knowledge for women in tech.,Sandra Márquez,Taller de habilidades blandas,"Women in tech don’t only need talent: they need strategy. This talk translates the values from the greatest strategists in world history, their mindset, and how a few exceptional women learned to win not only a battle, but the war itself.  Led by the examples of women of their time, at a deep disadvantageous scenarios, who made it through a man’s world and navigated complex stages of power. Their examples are now more necessary than ever in real tech-industry situations: building influence, choosing battles, negotiating visibility, reading power systems, and leading without losing identity. A practical session on technical leadership, career strategy, and decision-making that will impact your vision for life.",,
Guardrails de Bedrock: Construye IA responsable que proteja a tus usuarias,Fernanda Osorio,Taller técnico,"Las herramientas de IA generativa están transformando cómo construimos software, pero ¿quién decide qué es ""seguro""? En este taller, las participantes configurarán Amazon Bedrock Guardrails desde cero para prevenir sesgos de género, proteger datos sensibles (PII) y controlar respuestas dañinas. Veremos en tiempo real cómo un modelo sin protecciones puede generar respuestas problemáticas — y cómo nosotras, como desarrolladoras, tenemos el poder de definir los límites éticos de la IA que construimos.",guardrails-de-bedrock-construye-ia-responsable-que-proteja-a-tus-usuarias,
Kit de supervivencia: Soft Skills que marcan la diferencia,Elena Pérez,Taller técnico patrocinado,"Las habilidades técnicas abren puertas, pero las habilidades blandas
determinan el crecimiento.

A través de un formato interactivo y colaborativo, este workshop brinda un ""Kit
Inicial"" de habilidades blandas que fueron seleccionadas estratégicamente a partir de las áreas
de oportunidad más comunes observadas en el entorno laboral para recién
egresados.

Al finalizar, los participantes contarán con una base que les permitirá
desenvolverse con mayor seguridad y avanzar en su carrera profesional.",kit-de-supervivencia-soft-skills-que-marcan-la-diferencia,
Tu mayor ventaja no es técnica. Y la IA te va a ayudar a encontrarla.,Marian Suárez,Taller técnico patrocinado,"La inteligencia artificial está transformando la forma en que trabajamos, pero las habilidades que más impulsan una carrera profesional siguen siendo profundamente humanas. En este workshop descubrirás cómo fortalecer competencias como la comunicación, el feedback y la presencia ejecutiva, habilidades que rara vez se enseñan y que hoy son más valiosas que nunca. A través de ejercicios prácticos apoyados por IA, aprenderás a convertir esta tecnología en una aliada para practicar conversaciones desafiantes, ganar confianza y desarrollar capacidades que ninguna herramienta puede reemplazar.",tu-mayor-ventaja-no-es-tecnica-y-la-ia-te-va-a-ayudar-a-encontrarla,
Spec Driven Development: liderando con claridad desde la especificación,Joselyn Jassel Ramos Lorenzo,Taller técnico patrocinado,"¿Cuántos proyectos hemos visto morir no por falta de talento, sino por falta de claridad desde el primer día? Hoy, con la inteligencia artificial acelerando cada decisión, ya no basta con saber programar rápido: hay que saber, con precisión, qué estamos construyendo y por qué. Esa claridad se ha convertido en la habilidad de liderazgo más poderosa que podemos tener.

En esta charla hablaremos de Spec Driven Development (SDD), una metodología que coloca la especificación en el corazón de la construcción de producto. No es un trámite ni un documento más: es una herramienta de poder que nos permite alinear equipos, decidir con intención y liderar con confianza incluso cuando todo alrededor es incertidumbre.",spec-driven-development-liderando-con-claridad-desde-la-especificacion,
PoC en minutos… ¿y ahora qué? De prototipo a producto real con AI,"Viridiana Romero Martinez, Lilivette Cruz",Taller técnico patrocinado,"Objetivo: Crear un PoC con AI nunca ha sido tan fácil. Y justo por eso… hacer lo correcto es más difícil que nunca.

 En este taller práctico utilizaremos Manus AI para llevar una idea a un PoC en minutos, pero con un enfoque diferente: no basta con construir, hay que entender si vale la pena hacerlo. Exploraremos cómo pasar de una idea a una solución viable considerando lo que realmente importa en el mundo real: valor de negocio, riesgos, arquitectura, data governance, seguridad, escalabilidad y costos. Porque en la era de la inteligencia artificial, la ventaja no está en quién construye más rápido, sino en quién decide mejor.",,
Hasta aquí llegas: el techo del sector tech mexicano,Laura Figueroa,,"¿Por qué hay tan pocas mujeres en puestos de liderazgo en tecnología? La respuesta habitual apunta a la entrada al sector. Los datos preliminares de la Encuesta de Salarios 2026 dicen otra cosa: las mujeres son mayoría en el nivel medio (62%) y ahí se les paga igual o mejor. El problema aparece al subir: 37% menos en senior y liderazgo, y apenas una de cada cuatro llega. La mitad de esa brecha no la explica la experiencia ni el rol. En esta charla presentamos los hallazgos y qué puede hacer la industria.",hasta-aqui-llegas-el-techo-del-sector-tech-mexicano,
